customer_id,age,gender,location,income_bracket,total_purchases,avg_purchase_value,purchase_frequency,last_purchase_date,preferred_payment,frequent_categories,premium_product_affinity,brand_loyalty_score,website_visits_30d,avg_session_duration,cart_abandonment_rate,email_engagement_rate,customer_lifetime_value,churn_risk_score,satisfaction_score,promotion_response_rate,discount_sensitivity
CUST000001,40,M,San Diego,Low,5,128.41,0.46,2023-11-19,Bank Transfer,"['Beauty', 'Home & Garden', 'Food']",0.09,0.816,5,2.94,0.249,0.403,699.7,0.214,4.68,0.573,0.543
CUST000002,33,M,Houston,Medium,6,53.14,0.76,2024-01-13,Bank Transfer,['Sports'],0.171,0.708,3,3.43,0.27,0.31,373.24,0.198,3.8,0.82,0.37
CUST000003,42,F,New York,Medium,5,82.21,1.9,2023-11-25,Credit Card,['Electronics'],0.144,0.794,8,10.89,0.178,0.603,470.19,0.191,3.45,0.579,0.757
CUST000004,53,F,San Jose,Medium,5,84.74,1.16,2023-12-11,Bank Transfer,"['Food', 'Home & Garden']",0.532,0.426,2,3.23,0.316,0.406,649.22,0.711,4.64,0.587,0.423
CUST000005,32,M,San Antonio,Medium,5,104.47,1.17,2023-11-17,Bank Transfer,['Sports'],0.146,0.597,6,3.51,0.501,0.549,598.64,0.255,3.34,0.76,0.524
CUST000006,32,F,Phoenix,Low,10,114.2,1.94,2023-12-24,Debit Card,"['Clothing', 'Books', 'Food']",0.553,0.899,2,1.02,0.414,0.808,1773.93,0.497,3.99,0.614,0.268
CUST000007,53,M,Phoenix,Medium,3,172.51,2.09,2024-01-06,Bank Transfer,"['Electronics', 'Home & Garden']",0.128,0.736,7,2.76,0.08,0.446,583.63,0.157,4.07,0.445,0.352
CUST000008,44,F,New York,Low,5,136.14,1.43,2023-12-27,Credit Card,"['Books', 'Food', 'Electronics']",0.477,0.686,7,2.78,0.215,0.096,1005.39,0.29,3.35,0.619,0.633
CUST000009,29,F,San Jose,Medium,5,43.93,2.9,2024-01-09,PayPal,"['Sports', 'Clothing', 'Beauty']",0.684,0.648,9,6.44,0.62,0.162,369.83,0.582,3.8,0.591,0.496
CUST000010,41,F,Philadelphia,High,3,37.2,1.15,2023-10-26,Bank Transfer,"['Beauty', 'Books', 'Clothing']",0.424,0.294,5,2.97,0.42,0.332,158.91,0.341,3.05,0.529,0.509
CUST000011,29,F,Dallas,Medium,8,110.32,1.42,2023-12-20,Bank Transfer,"['Beauty', 'Home & Garden']",0.044,0.855,4,4.42,0.268,0.454,920.97,0.142,3.78,0.849,0.835
CUST000012,29,F,Dallas,High,3,109.31,1.65,2023-12-05,Debit Card,['Books'],0.301,0.464,1,3.19,0.478,0.483,426.68,0.321,3.07,0.647,0.479
CUST000013,37,M,San Diego,Low,9,146.47,2.02,2023-12-22,Bank Transfer,"['Books', 'Electronics', 'Sports']",0.069,0.41,8,3.8,0.249,0.417,1409.1,0.154,4.45,0.636,0.229
CUST000014,18,F,Phoenix,Medium,5,110.35,0.38,2023-11-24,Bank Transfer,['Home & Garden'],0.124,0.292,7,1.04,0.439,0.016,620.4,0.42,3.69,0.615,0.225
CUST000015,18,M,New York,High,6,120.29,0.25,2023-10-29,Bank Transfer,['Sports'],0.411,0.76,13,3.15,0.071,0.678,1018.24,0.155,3.4,0.336,0.105
CUST000016,28,F,Dallas,Low,7,68.21,0.29,2024-01-13,Bank Transfer,"['Clothing', 'Food', 'Beauty']",0.291,0.24,16,2.47,0.448,0.616,616.53,0.2,4.1,0.279,0.59
CUST000017,22,F,New York,Low,5,141.52,0.57,2023-11-27,PayPal,['Home & Garden'],0.412,0.829,8,11.05,0.674,0.196,999.48,0.261,3.12,0.624,0.449
CUST000018,38,F,San Diego,Medium,16,68.89,1.69,2024-01-05,Debit Card,"['Home & Garden', 'Beauty']",0.485,0.479,18,2.98,0.115,0.542,1637.13,0.148,3.63,0.084,0.634
CUST000019,24,M,Phoenix,Low,9,36.91,0.69,2023-12-07,PayPal,"['Clothing', 'Sports']",0.192,0.925,7,2.92,0.143,0.316,395.99,0.054,4.36,0.393,0.54
CUST000020,18,F,Chicago,Medium,7,57.76,0.77,2024-01-03,Credit Card,['Electronics'],0.376,0.799,2,3.96,0.161,0.22,556.35,0.57,3.3,0.144,0.515
CUST000021,52,F,San Antonio,High,4,138.88,0.25,2023-10-31,Bank Transfer,['Food'],0.34,0.801,10,1.06,0.239,0.441,744.5,0.356,3.86,0.336,0.389
CUST000022,32,F,San Antonio,Medium,13,91.12,0.28,2023-12-31,Credit Card,"['Clothing', 'Home & Garden']",0.294,0.352,10,8.2,0.429,0.565,1532.72,0.354,3.58,0.666,0.343
CUST000023,35,M,Dallas,Low,6,62.56,0.55,2023-11-29,PayPal,['Electronics'],0.518,0.976,7,2.43,0.192,0.309,569.97,0.447,2.96,0.794,0.351
